 Instalações sanitárias - Brasil
Moradores por Unidade da Federação e Instalações sanitárias
Período:2010
"Unidade da Federação";"Rede geral de esgoto ou pluvial";"Fossa séptica";"Fossa rudimendar";"Vala";"Rio, lago ou mar";"Outro escoadouro";"Não tem instalação sanitária";"Total"
"11 Rondônia";89286;253009;1102650;28920;12254;35920;22181;1544220
"12 Acre";159660;84500;201683;105816;17334;86180;73437;728610
"13 Amazonas";820856;572095;1207875;261324;186534;203629;211491;3463804
"14 Roraima";61427;127067;193823;8056;1939;24387;29705;446404
"15 Pará";696577;1493089;3613589;596979;175058;644044;305585;7524921
"16 Amapá";40091;107858;367694;25818;85992;25657;11299;664409
"17 Tocantins";171581;215712;813625;23635;1629;35382;113011;1374575
"21 Maranhão";682546;954029;2963301;529686;53047;419366;945274;6547249
"22 Piauí";202955;682292;1426478;57455;6547;74121;652348;3102196
"23 Ceará";2645421;893434;3864872;151016;62331;138967;646375;8402416
"24 Rio Grande do Norte";764356;624338;1607500;46241;11012;37584;59803;3150834
"25 Paraíba";1436381;354990;1452847;148451;52419;80054;219624;3744766
"26 Pernambuco";3651981;1003960;2760036;387506;271782;191588;475855;8742708
"27 Alagoas";626417;339716;1694200;91292;61890;64745;215398;3093658
"28 Sergipe";785090;218661;878876;45901;27738;36578;62177;2055021
"29 Bahia";5998128;901340;4939613;398803;223375;271902;1201810;13934971
"31 Minas Gerais";14433447;649194;2836276;223920;917428;139379;268523;19468167
"32 Espírito Santo";2311506;233891;638354;125858;154731;15386;12914;3492640
"33 Rio de Janeiro";11994876;1562017;960664;808617;477063;75405;17249;15895891
"35 São Paulo";35138354;2011514;2024572;465685;1091814;187489;23772;40943200
"41 Paraná";5408314;1247555;3411295;119217;103535;55094;33092;10378102
"42 Santa Catarina";1753763;2939429;1243166;151666;81109;24865;15820;6209818
"43 Rio Grande do Sul";4972414;2839275;2250935;348640;79060;60399;65734;10616457
"50 Mato Grosso do Sul";555206;357385;1450793;19808;3129;28150;8050;2422521
"51 Mato Grosso";566002;498711;1832420;19910;15407;21708;54259;3008417
"52 Goiás";2054716;796769;3031099;13171;15875;17636;33115;5962381
"53 Distrito Federal";2005008;229008;303314;2220;433;1340;1717;2543040
"Total";100026359;22190838;49071550;5205611;4190465;2996955;5779618;189461396
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
